
=== day 8: AUC 1.00000; false alarms before 1/2/4/6/8/12th: 0/0/0/0/0/0
   ranks of labelled: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 27]
    rank     src slot  events   users    dsts   newUs  newDst nuRatio   failR history tripleN movedUs freshUs
      47  C17642  213    6.00    1.00    1.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00
      48  C12386  208    5.00    1.00    1.00    0.00    1.00    0.00    0.00   35.00    0.00    0.00    0.00
      49   C3699  213   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
      50  C19233  196    7.00    1.00    1.00    0.00    1.00    0.00    0.00 1612.00    0.00    0.00    0.00
      51  C21835  202   11.00    1.00    2.00    0.00    2.00    0.00    0.00   43.00    0.00    0.00    0.00
      52  C20239  206    3.00    1.00    1.00    0.00    1.00    0.00    0.00   41.00    0.00    0.00    0.00
      53  C19944  204    6.00    1.00    1.00    0.00    1.00    0.00    0.00  413.00    0.00    0.00    0.00
      54  C21574  197    8.00    1.00    1.00    0.00    1.00    0.00    0.00  447.00    0.00    0.00    0.00
      55  C17670  206    7.00    1.00    1.00    0.00    1.00    0.00    0.00   76.00    0.00    0.00    0.00

=== day 12: AUC 0.99422; false alarms before 1/2/4/6/8/12th: 0/0/0/0/40/7957
   ranks of labelled: [1, 2, 3, 4, 5, 6, 29, 48, 105, 627, 6819, 7969]
    rank     src slot  events   users    dsts   newUs  newDst nuRatio   failR history tripleN movedUs freshUs
       7   C3699  311   41.00    2.00    3.00    1.00    3.00    0.50    0.00 2277.00   27.00   27.00    0.00
       8   C3699  309   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
       9   C3699  306   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
      10   C3699  310   30.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      11   C3699  307   29.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   26.00   26.00    0.00
      12   C3699  304   26.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   26.00   26.00    0.00
      13   C3699  302   43.00    2.00    5.00    1.00    3.00    0.50    0.00 2277.00   27.00   27.00    0.00
      14   C3699  305   33.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      15   C3699  308   34.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      16   C3699  296   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
      17   C3699  303   33.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   30.00   30.00    0.00
      18   C3699  301   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
      19   C3699  294   28.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   28.00   28.00    0.00
      20   C3699  299   27.00    1.00    1.00    1.00    1.00    1.00    0.00 2277.00   27.00   27.00    0.00
      21   C3699  295   31.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      22   C3699  293   51.00    2.00    5.00    1.00    3.00    0.50    0.00 2277.00   27.00   27.00    0.00
      23   C3699  297   39.00    3.00    5.00    2.00    1.00    0.67    0.00 2277.00   27.00   30.00    0.00
      24   C3699  300   35.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      25   C3699  298   32.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      26   C3699  292   34.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      27  C20621  311   15.00    1.00    4.00    1.00    2.00    1.00    0.00  677.00   10.00    0.00   15.00
      28   C3699  291   29.00    2.00    1.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      30  C20621  310    4.00    1.00    1.00    1.00    1.00    1.00    0.00  677.00    4.00    0.00    4.00
      31  C20621  309   12.00    1.00    4.00    1.00    2.00    1.00    0.00  677.00    9.00    0.00   12.00
      32  C21542  310    8.00    1.00    1.00    1.00    1.00    1.00    0.00   74.00    8.00    0.00    8.00
      33  C19727  304    1.00    1.00    1.00    1.00    1.00    1.00    1.00   27.00    0.00    1.00    0.00
      34  C21542  311   15.00    1.00    2.00    1.00    2.00    1.00    0.00   74.00   15.00    0.00   15.00
      35  C21542  308   12.00    1.00    2.00    1.00    2.00    1.00    0.00   74.00   12.00    0.00   12.00
      36  C21542  309   23.00    1.00    4.00    1.00    4.00    1.00    0.00   74.00   23.00    0.00   23.00
      37  C20621  308    6.00    1.00    3.00    1.00    2.00    1.00    0.00  677.00    5.00    0.00    6.00
      38   C3699  290   32.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      39  C21542  307   13.00    1.00    2.00    1.00    2.00    1.00    0.00   74.00   13.00    0.00   13.00
      40  C18025  303    5.00    2.00    4.00    2.00    4.00    1.00    0.00   21.00    0.00    5.00    0.00
      41  C21919  302   18.00    2.00    5.00    1.00    5.00    0.50    0.00    2.00    8.00    0.00    8.00
      42  C20621  307   13.00    1.00    4.00    1.00    2.00    1.00    0.00  677.00    9.00    0.00   13.00
      43  C21919  307   20.00    2.00    3.00    1.00    3.00    0.50    0.00    2.00    7.00    0.00    7.00
      44  C18025  301    1.00    1.00    1.00    1.00    1.00    1.00    1.00   21.00    0.00    1.00    0.00
      45  C21542  306   15.00    1.00    2.00    1.00    2.00    1.00    0.00   74.00   15.00    0.00   15.00
      46  C21919  304   37.00    2.00    8.00    1.00    8.00    0.50    0.00    2.00   18.00    0.00   18.00
      47  C21919  305   17.00    2.00    4.00    1.00    4.00    0.50    0.00    2.00   10.00    0.00   10.00
